time,V (V),I (A),T0 (C),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C),Tw1 (C),Tw2 (C),Tw3 (C),P (V),T0cal (C),T1cal (C),T2cal (C),T3cal (C),T4cal (C),T5cal (C),Tw1cal (C),Tw2cal (C),Tw3cal (C),Pcal (psi),Q01 (W),Q12 (W),Q23 (W),Q34 (W),Q45 (W),T6ext (C)
2022-04-08T14:40:04.042724,0.13,0.0,181.63861083984375,129.91915893554688,126.08447265625,122.3431396484375,118.78167724609375,106.04916381835938,98.98920440673828,99.00554656982422,98.06869506835938,0.04482891783118248,182.8950541085556,130.46381635838125,126.79961582714452,122.60019189047584,119.02941791839532,106.27288277548963,98.47814320106367,98.02052211661902,97.38361398710595,13.384618429513477,336.3880862061766,8.650825342419987,9.933245376886244,8.435578585172186,8.297349907862781,97.81277955826982
2022-04-08T14:40:06.791505,0.13,0.0,181.5865936279297,129.8844757080078,126.06907653808594,122.30862426757812,118.75814819335938,106.04446411132812,98.99005126953125,99.01435852050781,98.00166320800781,0.04487542062997818,182.84247482023673,130.42872950981078,126.78403077065123,122.56539659988715,119.00571011989432,106.26813972886927,98.47899999946857,98.02937341323519,97.3157497100974,13.398590086920615,336.2758582942956,8.60478348535303,9.97868493523871,8.409385549278731,8.285014490721158,97.83430569816625
2022-04-08T14:40:09.227857,0.13,0.0,181.5104217529297,129.8689422607422,126.03709411621094,122.27945709228516,118.7408676147461,106.02876281738281,98.98217010498047,99.01605987548828,98.06715393066406,0.04485946148633957,182.7654798635668,130.41301529430496,126.75165586637975,122.53599288726105,118.98829826399134,106.2522936412967,98.47102637106983,98.03108236487623,97.38205371121752,13.393795199447077,335.88269360610514,8.64411777051767,9.971656929464508,8.381056046890448,8.283996053695233,97.84687147492254
2022-04-08T14:40:11.684940,0.13,0.0,181.4408416748047,129.8588409423828,126.02428436279297,122.28038024902344,118.72267150878906,105.99964904785156,98.97109985351562,99.00021362304688,98.0262222290039,0.04486941173672676,182.69514793199332,130.40279642331785,126.73868891402482,122.53692353053276,118.96996392565642,106.22291139145368,98.45982624056974,98.01516535788767,97.34061371051745,13.396784728961974,335.4970205174208,8.650605726549871,9.93878379505605,8.426567543152984,8.291182047894042,97.77184541392138
2022-04-08T14:40:14.122830,300.0,2.5051,181.39437866210938,129.8460235595703,126.00782775878906,122.26395416259766,118.71813201904297,105.9697036743164,98.94561767578125,99.01145935058594,97.9718017578125,0.04497236758470535,182.64818285926498,130.3898298800714,126.7220303576046,122.52036423330962,118.96538995026468,106.19268986875089,98.43404509937726,98.02646129833116,97.28551743372459,13.42771757329115,335.278892913401,8.659322214868666,9.938549009053151,8.398253478760251,8.307864216832103,97.77002027266926
2022-04-08T14:40:16.545832,300.0,2.5023,181.36563110351562,129.8211669921875,125.98121643066406,122.251953125,118.6961441040039,105.95159912109375,98.90815734863281,98.9795913696289,98.04764556884766,0.04485997557640076,182.61912466648332,130.36468404798987,126.69509246015734,122.50826587077735,118.94323499719079,106.1744183596111,98.39614527804342,97.99445102476774,97.3623030901942,13.393949656606589,335.25379200819765,8.663553108988376,9.903447827602456,8.422011117993668,8.305338272850621,97.72792205406516
2022-04-08T14:40:19.000860,300.0,2.5,181.44329833984375,129.79248046875,125.97087097167969,122.24072265625,118.69588470458984,105.91773223876953,98.90666961669922,98.97969055175781,98.07476806640625,0.04485277086496353,182.69763114273528,130.33566368929542,126.68462004360387,122.49694432618263,118.9429736271684,106.14023916489066,98.39464009165643,97.9945506497513,97.38976240100291,13.391785017863866,335.94366216529323,8.619763199960442,9.905456340512169,8.395882616861936,8.32739975400366,97.71994732347883
2022-04-08T14:40:21.436929,300.0,2.499,181.80690002441406,129.76947021484375,125.94699096679688,122.2269287109375,118.6748046875,105.9122543334961,98.89793395996094,98.97655487060547,98.0755615234375,0.044848307967185974,183.06516175621437,130.31238565689583,126.66044698769505,122.48303851597389,118.92173346917285,106.13471074366758,98.38580194594823,97.99140096757878,97.39056571136132,13.390444150638539,338.4510104199035,8.621876264458333,9.88117037357439,8.413209243416953,8.317180225252237,97.6970419022573
2022-04-08T14:40:23.937933,300.0,2.497,182.40087890625,129.781982421875,125.9613265991211,122.2120590209961,118.6754150390625,105.89103698730469,98.88446807861328,98.9399642944336,98.09555053710938,0.04485088214278221,183.66555892734618,130.32504347292212,126.6749585442614,122.46804823715927,118.92234845746081,106.11329773611689,98.37217807941987,97.95464701210592,97.41080295308251,13.391217555690877,342.22182578371485,8.6174997611787,9.950953509148967,8.376343438407803,8.33150809619797,97.71260187912186
2022-04-08T14:40:26.369893,300.0,2.4961,183.27713012695312,129.81011962890625,125.9729232788086,122.22271728515625,118.6532974243164,105.87608337402344,98.85819244384766,98.92964172363281,98.06912231445312,0.04486289247870445,184.55127855509596,130.3535081226203,126.68669753626824,122.47879293675086,118.90006281937572,106.09820622414301,98.34559417215434,97.94427835035555,97.3840465388374,13.394826033098601,347.7217982015229,8.656987431733684,9.953305391379942,8.454374143051975,8.326828754906833,97.61925280499777
